fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Tom Aaron,,155 lbs.,,,"Jul 13, 1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Papy Abedi,"5' 11""",185 lbs.,,Southpaw,"Jun 30, 1978",2.80,55%,3.15,48%,3.47,57%,50%,1.3
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.45,44%,2.45,58%,1.23,24%,47%,0.2
Danny Abbadi,"5' 11""",155 lbs.,,Orthodox,"Jul 03, 1983",3.29,38%,4.41,57%,0.00,0%,77%,0.0
Hiroyuki Abe,"5' 6""",145 lbs.,,Orthodox,,1.71,36%,3.11,63%,0.00,0%,33%,0.0
Ricardo Abreu,"5' 11""",185 lbs.,,Orthodox,"Apr 27, 1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.80,33%,4.49,56%,0.33,50%,0%,0.0
David Abbott,"6' 0""",265 lbs.,,Switch,,1.35,30%,3.55,38%,1.07,33%,66%,0.0
Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",2.05,40%,2.90,55%,0.64,20%,80%,0.0
Daniel Acacio,"5' 8""",180 lbs.,,Orthodox,"Dec 27, 1977",3.52,36%,2.85,62%,0.33,20%,81%,0.0
Scott Adams,"6' 0""",225 lbs.,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.09,55%,4.06,34%,0.91,66%,57%,0.0
Anthony Adams,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",3.17,41%,5.93,44%,0.00,0%,0%,0.0
Sam Adkins,"6' 3""",225 lbs.,,Orthodox,"Apr 26, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",3.95,49%,2.63,61%,0.00,0%,82%,0.3
Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",1.93,23%,3.35,60%,0.00,0%,0%,0.0
Marcelo Aguiar,"5' 10""",170 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nick Agallar,"5' 8""",155 lbs.,,Orthodox,"Jan 13, 1979",0.69,11%,4.56,42%,0.00,0%,0%,0.0
Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",3.70,50%,4.15,47%,1.23,66%,33%,0.6
Edwin Aguilar,"5' 10""",185 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Fabio Aguiar,"6' 0""",185 lbs.,,,"Feb 10, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",4.93,50%,7.19,53%,0.94,25%,50%,0.2
Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",3.69,37%,4.47,53%,0.19,25%,87%,0.0
Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",3.35,41%,4.89,46%,0.00,0%,0%,0.0
Hitomi Akano,"5' 4""",135 lbs.,,Southpaw,"Jul 27, 1974",0.59,45%,2.58,55%,0.00,0%,8%,0.5
Mike Aina,"5' 9""",155 lbs.,,Orthodox,,2.87,33%,6.33,59%,0.00,0%,71%,0.0
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",1.80,25%,3.97,57%,1.00,40%,87%,0.0
Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.95,35%,2.59,57%,2.63,49%,65%,0.3
Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,"May 14, 1982",3.27,39%,3.14,60%,0.65,14%,57%,0.0
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.10,41%,3.62,57%,2.29,67%,92%,1.0
Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",3.84,65%,6.66,23%,2.06,50%,42%,0.0
Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,19%,3.61,53%,0.00,0%,0%,0.0
Javi Alanis,"5' 6""",135 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Heili Alateng,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.87,32%,5.82,57%,2.33,35%,100%,0.0
Brett Albee,,225 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",4.06,40%,3.15,58%,2.28,75%,66%,0.8
Wes Albritton,"5' 10""",188 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Albert,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",3.05,49%,2.82,35%,0.00,0%,50%,6.1
Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",4.83,47%,5.56,38%,2.27,50%,77%,0.4
Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",3.98,51%,6.08,52%,1.54,37%,100%,0.0
Israel Albuquerque,,185 lbs.,,Orthodox,,0.32,13%,3.34,25%,0.00,0%,0%,0.0
Juan Alcain,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",1.93,38%,2.63,50%,2.00,68%,81%,0.9
Alfonso Alcarez,"5' 3""",145 lbs.,,,"Jun 10, 1970",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2.72,45%,2.79,49%,1.44,62%,60%,0.8
Gilbert Aldana,"6' 1""",250 lbs.,,Orthodox,"Aug 25, 1977",2.91,54%,6.26,26%,2.57,40%,33%,0.0
