Datetime,PM2.5,PM10,NO2,NH3,SO2,CO,O3,NOx,NO,Benzene,Toluene,Xylene
2019-05-31 00:00:00,103.26,305.46,94.71,31.43,30.16,3.0,18.06,178.31,152.73,13.65,83.47,2.54
2019-05-31 01:00:00,104.47,309.14,74.66,34.08,27.02,1.69,18.65,106.5,79.98,11.35,76.79,2.91
2019-05-31 02:00:00,90.0,314.02,48.11,32.6,18.12,0.83,28.27,48.45,25.27,5.66,32.91,1.59
2019-05-31 03:00:00,78.01,356.14,45.45,30.21,16.78,0.79,27.47,44.22,21.5,3.6,21.41,0.78
2019-05-31 04:00:00,80.19,372.9,45.23,28.68,16.41,0.76,26.92,44.06,22.15,4.5,23.39,0.62
2019-05-31 05:00:00,83.59,389.97,39.49,27.71,17.42,0.76,28.71,39.33,21.04,3.25,23.59,0.56
2019-05-31 06:00:00,79.04,371.64,39.61,26.87,16.91,0.84,29.26,43.11,24.37,3.12,15.27,0.46
2019-05-31 07:00:00,77.32,361.88,42.63,27.26,17.86,0.96,27.07,48.22,28.81,3.32,14.42,0.41
2019-05-31 08:00:00,84.3,377.77,42.49,28.41,20.19,0.98,33.05,48.22,27.76,3.4,14.53,0.4
2019-05-31 09:00:00,94.79,406.19,38.86,29.22,19.97,0.98,46.97,42.07,23.47,3.39,13.39,0.43
2019-05-31 10:00:00,99.37,414.53,36.61,33.93,19.31,0.96,62.89,38.75,20.04,3.08,16.35,0.4
2019-05-31 11:00:00,99.67,412.05,34.73,41.31,18.82,0.88,88.58,33.49,14.65,2.5,17.79,0.34
2019-05-31 12:00:00,97.87,382.23,36.61,42.79,20.84,1.06,107.29,33.92,14.12,2.55,16.88,0.22
2019-05-31 13:00:00,98.59,353.18,35.19,42.19,21.07,1.1,118.81,33.51,15.66,2.46,17.7,0.11
2019-05-31 14:00:00,87.8,319.78,32.4,40.8,20.32,1.15,125.11,30.88,13.93,2.4,17.7,0.08
2019-05-31 15:00:00,80.14,279.61,34.5,40.77,18.94,1.03,122.43,34.68,17.06,2.05,14.3,0.2
2019-05-31 16:00:00,74.4,259.52,34.45,39.36,17.75,0.98,118.24,33.72,15.58,2.29,25.86,0.13
2019-05-31 17:00:00,70.15,229.66,34.87,34.35,17.26,0.9,112.06,41.04,21.31,2.32,23.15,0.2
2019-05-31 18:00:00,68.17,223.24,45.41,33.37,17.96,1.1,105.73,50.36,23.17,2.35,21.01,0.28
2019-05-31 19:00:00,70.63,256.72,77.93,34.32,16.86,1.7,68.93,75.02,37.65,3.5,31.2,0.24
2019-05-31 20:00:00,80.84,302.4,105.87,34.74,18.83,2.32,31.67,94.82,41.5,5.74,50.43,0.22
2019-05-31 21:00:00,97.2,362.61,117.03,36.14,20.05,2.98,20.98,148.25,95.64,8.23,65.39,0.34
2019-05-31 22:00:00,106.21,378.75,114.26,34.89,21.48,3.7,19.35,171.61,134.06,8.81,71.75,0.78
2019-05-31 23:00:00,119.78,367.12,112.9,36.9,25.28,3.77,17.28,193.52,168.81,9.37,73.06,1.32
2019-06-01 00:00:00,113.02,379.99,105.76,37.49,28.03,3.63,18.16,193.54,174.52,9.82,71.07,2.11
2019-06-01 01:00:00,120.95,393.27,94.28,40.12,29.17,3.14,18.05,202.86,179.93,10.36,68.12,3.14
2019-06-01 02:00:00,126.07,370.98,81.94,36.77,30.03,2.37,20.03,163.32,140.09,10.75,62.92,3.01
2019-06-01 03:00:00,115.24,320.73,68.82,34.81,25.22,1.52,18.25,100.16,71.81,8.33,50.42,2.08
2019-06-01 04:00:00,89.87,259.65,63.64,32.77,25.75,1.26,17.84,83.01,54.98,5.88,40.74,1.24
2019-06-01 05:00:00,90.97,258.56,62.64,33.6,26.13,1.29,18.09,92.28,67.18,5.85,45.01,0.87
2019-06-01 06:00:00,101.93,282.06,62.02,33.71,24.52,1.51,20.28,111.06,89.9,6.34,46.91,0.87
2019-06-01 07:00:00,111.26,314.18,64.34,33.31,21.77,1.75,23.17,113.7,89.2,6.76,38.01,0.8
2019-06-01 08:00:00,110.47,348.11,64.84,34.6,21.1,1.69,28.88,80.34,50.33,6.09,33.92,0.85
2019-06-01 09:00:00,117.37,352.98,53.8,35.82,20.55,1.41,47.6,48.03,19.49,5.17,25.45,0.85
2019-06-01 10:00:00,115.1,332.39,43.14,36.67,18.07,1.37,67.49,37.23,13.5,4.6,18.42,0.62
2019-06-01 11:00:00,105.6,291.9,39.44,43.05,19.1,1.14,98.39,29.31,10.58,4.47,17.4,0.48
2019-06-01 12:00:00,96.42,281.74,37.5,50.28,20.42,1.23,124.18,26.75,7.35,4.29,16.93,0.32
2019-06-01 13:00:00,90.31,278.67,35.51,50.19,19.44,1.18,132.37,28.76,10.71,4.21,16.76,0.32
